Brand_ID,Classification,Price,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_chlorides
Wi02-1000,Red,19.99,6,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,0.02480005
Wi02-1001,Red,14.99,6,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,0.024337947
Wi02-1002,Red,15.99,6,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,0.024490536
Wi02-1003,Red,9.99,5,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,0.039524286
Wi02-1004,Red,14.99,5,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,0.043222496
Wi02-1005,Red,13.99,5,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,0.035200237
Wi02-1006,Red,12.99,5,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,0.042164026
Wi02-1007,Red,25.99,7,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,0.019726045
Wi02-1008,Red,13.99,6,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,0.026014568
Wi02-1009,Red,19.99,7,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,0.021126284
Wi02-1010,Red,11.99,5,8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,0.045657097
Wi02-1011,Red,19.99,6,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,0.030351224
Wi02-1012,Red,11.99,5,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,0.043222496
Wi02-1013,Red,17.99,6,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,0.029522561
Wi02-1014,Red,9.99,5,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0.045269353
Wi02-1015,Red,8.99,5,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,0.049163967
Wi02-1016,Red,12.99,5,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,0.036699403
Wi02-1017,Red,11.99,5,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,0.047054173
Wi02-1018,Red,10.99,5,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,0.036281179
Wi02-1019,Red,15.99,6,10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,0.028341779
Wi02-1020,Red,9.99,5,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,0.038446751
Wi02-1021,Red,15.99,6,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,0.028341779
Wi02-1022,Red,12.99,5,9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,0.040812162
Wi02-1023,Red,9.99,5,9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,0.042865287
Wi02-1024,Red,14.99,6,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,0.024037017
