Brand_ID,Brand_Name,Classification,Price,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1111,Blue Carriage Vintners,Red,26.99,7,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,0.022681086
R-1112,Thirsty Writer Vintners,Red,12.99,5,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,0.033915665
R-1113,Abnormally Normal Wine,Red,11.99,5,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,0.034677791
R-1114,Singlewave Vines,Red,16.99,6,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,0.024111724
R-1115,Another Vineyards,Red,19.99,7,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,0.021690045
R-1116,Underdog,Red,18.99,6,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,0.025930853
R-1117,Bright Ring Vintners,Red,25.99,7,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,0.019451885
R-1118,Busy Month Wine,Red,14.99,5,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,0.033915665
R-1119,Roinad Vintners,Red,20.99,7,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,0.020292043
R-1120,La Cabra,Red,15.99,6,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,0.026612094
R-1121,Crazy Tomatoes,Red,19.99,7,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,0.018972596
R-1122,La Escoba,Red,9.99,4,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,0.051186503
R-1123,Nightfall Vineyards,Red,16.99,6,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,0.032001946
R-1124,Loodon,Red,10.99,5,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,0.043222496
R-1125,Real Nerve,Red,8.99,5,7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,0.044135301
R-1126,La Araña,Red,17.99,6,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,0.031887755
R-1127,Equable Fork,Red,10.99,5,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,0.0419914
R-1128,El Rábano,Red,18.99,6,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,0.031774175
R-1129,Instinctive Vines,Red,16.99,6,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,0.030886981
R-1130,Nonchalant Air,Red,25.99,7,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,0.021065004
R-1131,Supernatural Vineyards,Red,14.99,6,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,0.026268161
R-1132,Decisive Note Wines,Red,24.99,7,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,0.023026566
R-1133,Hypnotic Suggestion Winery,Red,33.99,8,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,0.01695421
R-1134,Literate,Red,15.99,6,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,0.032818736
R-1135,Plausible Explanation Vines,Red,9.99,4,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,0.053090955
R-1136,Majestically Dapper Vintners,Red,16.99,6,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,0.023962657
R-1137,Blissfully Brash Wines,Red,11.99,5,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,0.041143967
R-1138,Clean Slate Winery,Red,21.99,7,9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,0.023237656
R-1139,Cooing Roo Wine,Red,9.99,5,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,0.039057008
R-1140,Passkey,Red,8.99,5,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,0.040812162
R-1141,Utter Vines,Red,19.99,6,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,0.030245747
R-1142,Chaintwist Wines,Red,15.99,6,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,0.02576463
R-1143,Upstart Wines,Red,9.99,5,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,0.037268377
R-1144,Luxuriant,Red,20.99,7,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,0.020882756
R-1145,Righteous Flowers,Red,11.99,5,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,0.049382716
R-1146,Quack Magic Vintners,Red,14.99,5,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,0.043584189
R-1147,El Formón,Red,16.99,6,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,0.025436943
R-1148,Keystone,Red,10.99,5,6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,0.037557839
R-1149,Resaix Vineyards,Red,10.99,5,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,0.037124899
R-1150,Goodnight Wines,Red,13.99,6,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,0.0256
R-1151,Dramatic Increase,Red,14.99,5,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,0.03317839
R-1152,Knowledgeable Sky,Red,26.99,7,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,0.020525283
R-1153,Trealop,Red,18.99,6,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,0.027593514
R-1154,La Almohada,Red,8.99,4,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,0.0625
R-1155,El Despertador,Red,13.99,5,10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,0.038750078
R-1156,Superpower,Red,10.99,4,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,0.076310247
R-1157,Accidental,Red,8.99,5,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,0.045269353
R-1158,Obsolete Caption Vineyards,Red,22.99,7,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,0.020822532
R-1159,Unequal Parts Vineyards,Red,9.99,5,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,0.037412688
R-1160,Allspice,Red,16.99,6,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,0.028437448
R-1161,El Armario,Red,13.99,5,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,0.037850687
R-1162,La Papelería,Red,16.99,6,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,0.024337947
R-1163,Anyplace Winery,Red,9.99,5,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,0.039367599
R-1164,Ahoy-Wut Winery,Red,10.99,5,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,0.033421455
R-1165,Alerrawia,Red,9.99,5,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,0.046248121
R-1166,Glomtom Winery,Red,17.99,6,8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,0.02480005
R-1167,Jukebox,Red,7.99,3,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,0.121404897
R-1168,Cheerful Song Wine,Red,13.99,5,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,0.040977561
R-1169,Novanoid Wines,Red,10.99,5,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,0.033915665
R-1170,Rosy Robin Vintners,Red,14.99,6,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,0.027230446
R-1171,Spooky Humor Vineyards,Red,9.99,5,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,0.041649313
R-1172,Humbly Snobbish Vintners,Red,6.99,3,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,0.093519999
R-1173,Jovaphile Vines,Red,12.99,5,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,0.033057851
R-1174,Glorious Grape,Red,17.99,6,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,0.027963893
R-1175,Supercharge,Red,11.99,5,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,0.039211842
R-1176,Classy Cask Wine,Red,30.99,8,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,0.015902069
R-1177,Uptight Vines,Red,19.99,7,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,0.020408163
R-1178,Gigantic Gyroscope,Red,14.99,5,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,0.039524286
R-1179,Faded Bubble,Red,14.99,5,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,0.044508537
R-1180,Normal Stop Vintners,Red,13.99,6,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,0.029220542
R-1181,Questionable Intent Vineyards,Red,13.99,5,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,0.03317839
R-1182,Whitecap,Red,19.99,6,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,0.02652548
R-1183,Probably Gorgeous,Red,8.99,5,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,0.045462605
R-1184,Bumola Wines,Red,10.99,5,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,0.04233772
R-1185,Habitual Snitch Wines,Red,10.99,4,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,0.053832613
R-1186,Elegant Rhythm Vintners,Red,14.99,5,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,0.044696932
